gm         | Change gamemode                  | /gm <c/s/a/sp> [player]
heal       | Heal player                      | /heal [player]
fly        | Toggle fly                       | /fly [player]
god        | Toggle god mode                  | /god [player]
vanish     | Toggle vanish                    | /vanish [player]
who        | Check admin status               | /who
uuid       | Show player UUID                 | /uuid
settime    | Set world time                   | /settime <time>

addadmin   | Add server admin                 | /addadmin <player>
rmadmin    | Remove server admin              | /rmadmin <player>

tp         | Teleport to player               | /tp <player>
tphere     | Teleport player to you           | /tphere <player>
ttp        | Teleport player to player        | /ttp <player1> <player2>
tpall      | Teleport everyone to you         | /tpall confirm

freeze     | Freeze player(s)                 | /freeze <player|all>
melt       | Unfreeze player(s)               | /melt <player|all>

invsee     | Open player inventory            | /invsee <player>
ecsee      | Open player ender chest          | /ecsee <player>

clear      | Clear inventory                  | /clear [player]
clearall   | Clear inventory + ender chest    | /clearall [player] confirm

kick       | Kick player                      | /kick <player> <reason>
give       | Give item(s)                     | /give <player> <item> <amount>
